Nombre,TipoVia,Tramo,Numero,Zona,DS,Codigo
"MARQUES DE CAZALLA",CALLE,COMPLETO,0,NORTE,1_14,512
"MARQUES DE LA ENSENADA",CALLE,COMPLETO,0,NORTE,1_4,118
"MARQUES DE LA VICTORIA",CALLE,COMPLETO,0,NORTE,1_8,121
"MARQUES DE RECAÑO",CALLE,COMPLETO,0,SUR,6_25,1140
"MARQUES DE UREÑA",CALLE,COMPLETO,0,CENTRO,5_4,2156
"MARTINETE (DEL)",PLAZA,COMPLETO,0,SUR,6_17,5189
"MATILDE VEZ GARCIA",CALLE,COMPLETO,0,NORTE,1_14,5361
"MATRONA ANA MARISCAL",CALLE,COMPLETO,0,SUR,"6_10,6_28",5177
MAYORAZGA,CALLE,COMPLETO,0,CENTRO,5_5,1110
MAZARREDO,CALLE,COMPLETO,0,NORTE,3_6,1128
MEJICO,CALLE,COMPLETO,0,SUR,"6_24,6_31",2502
"MENDEZ NUÑEZ",CALLE,COMPLETO,0,NORTE,"1_8,1_10,2_1",138
MENORCA,CALLE,COMPLETO,0,CENTRO,5_4,2169
MERCURIO,CALLE,COMPLETO,0,SUR,6_26,2110
METEORITOS,CALLE,COMPLETO,0,SUR,6_26,5106
MILONGAS,CALLE,COMPLETO,0,SU﻿R,"6_17,6_30",5206
MINERAS,CALLE,COMPLETO,0,SUR,"6_17,6_60",5209
MIÑO,CALLE,COMPLETO,0,NORTE,1_8,5236
MOGUER,CALLE,COMPLETO,0,CENTRO,5_6,3128
"MONTAÑESES DE LA ISLA",CALLE,COMPLETO,0,NORTE,"3_2,3_4,3_8",5074
MONTIGNY,CALLE,COMPLETO,0,CENTRO,"5_1,6_10",5180
"MORENO DE GUERRA",ALAM,COMPLETO,0,CENTRO,6_1,3016
MOSQUETE,CALLE,COMPLETO,0,NORTE,1_17,304
"MUÑOZ TORRERO",CALLE,COMPLETO,0,NORTE,4_6,5029
MURILLO,CALLE,COMPLETO,0,NORTE,"3_3,3_4,4_2,4_5",74
MUROS,CALLE,COMPLETO,0,CENTRO,5_6,2134
"NAO VICTORIA",PLAZA,COMPLETO,0,SUR,6_16,3135
NAPOLES,CALLE,COMPLETO,0,NORTE,1_10,128
NARANJOS,CALLE,COMPLETO,0,NORTE,4_4,2114
NAZARET,CALLE,COMPLETO,0,NORTE,1_1,170
NEBULOSAS,CALLE,COMPLETO,0,SUR,6_26,5149
"NEPTUNO (DE)",PLAZA,COMPLETO,0,CENTRO,6_23,3059
NICARAGUA,CALLE,COMPLETO,0,SUR,6_31,2517
NICOLA,CALLE,COMPLETO,0,NORTE,3_4,1183
"NOTARIO NICOLÁS M  DE SIERRA",CALLE,COMPLETO,0,NORTE,1_15,5350
NOYA,CALLE,COMPLETO,0,NORTE,4_4,1129
"NUESTRA SEÑORA DE ARANZAZU",CALLE,COMPLETO,0,NORTE,1_9,85
NUEVA,CALLE,COMPLETO,0,SUR,6_24,255
"OBISPO VERA DELGADO",CALLE,COMPLETO,0,NORTE,1_15,5353
"OBSERVATORIO DE MARINA",LUGAR,COMPLETO,0,CENTRO,5_7,1245
OBUSERA,CALLE,COMPLETO,0,SUR,6_16,5025
OLIVARILLO,CALLE,COMPLETO,0,CENTRO,"6_4,6_18",3057
OLMO,CALLE,COMPLETO,0,NORTE,4_4,255
OLMO,CALLE,COMPLETO,0,NORTE,4_4,1135
"ONOFRE ORY",CALLE,COMPLETO,0,NORTE,1_14,343
ORLANDO,CALLE,COMPLETO,0,CENTRO,6_5,2054
"ORTEGA Y GASSET",CALLE,COMPLETO,0,NORTE,1_6,172
"OSA MAYOR",CALLE,COMPLETO,0,SUR,6_26,1203
"OSA MENOR",CALLE,COMPLETO,0,SUR,6_26,1204
PADILLA,CALLE,COMPLETO,0,CENTRO,5_2,1095
"PADRE FRANCO",CALLE,COMPLETO,0,SUR,6_9,1071
"PAGO ARBOLEDILLA",LUGAR,COMPLETO,0,SUR,6_31,268
"PAGO TORRE REDONDA",LUGAR,COMPLETO,0,SUR,6_26,1257
"PALACIO VALDES",CALLE,COMPLETO,0,CENTRO,5_6,3149
PALMA,CALLE,COMPLETO,0,CENTRO,6_5,2067
PALO,CALLE,COMPLETO,0,SUR,6_24,293
PANAMA,CALLE,COMPLETO,0,SUR,6_24,2508
PARAGUAY,CALLE,COMPLETO,0,SUR,6_24,2514
"PARDO (EL)",CALLE,COMPLETO,0,NORTE,"1_4,1_13",123
"PASCUAL O'DOGHERTY",CALLE,COMPLETO,0,NORTE,1_9,102
PASTOR,CALLE,COMPLETO,0,NORTE,1_15,356
"PASTOR MIGUEL BLANCO FERRER",CALLE,COMPLETO,0,NORTE,1_6,5340
"PATIO DE LA ACEQUIA",LUGAR,COMPLETO,0,NORTE,1_14,535
PATRONA,CALLE,COMPLETO,0,NORTE,"1_9,1_10",119
"PECES CASAS",CALLE,COMPLETO,0,CENTRO,5_4,2175
"PEDRO MESA",CALLE,COMPLETO,0,NORTE,1_14,375
"PEDROSO (EL)",CALLE,COMPLETO,0,SUR,6_24,464
PERDIZ,CALLE,COMPLETO,0,SUR,6_8,5213
"PEREZ GALDOS",CALLE,COMPLETO,0,CENTRO,"4_2,4_3,5_3",1050
PESCADORES,CALLE,COMPLETO,0,CENTRO,6_2,3079
PICAFINA,CALLE,COMPLETO,0,SUR,6_8,5146
"PINO (DEL)",CLLON,COMPLETO,0,NORTE,1_5,564
"PINTOR ANGEL COUSILLAS",CALLE,COMPLETO,0,CENTRO,5_6,3152
"PINTOR FERNANDO VELA",CALLE,COMPLETO,0,SUR,"6_17,6_27",5044
"PINTOR HERNANDEZ HOMEDES",CALLE,COMPLETO,0,SUR,6_27,3125
"PINTOR JOSE MARTINEZ PEPIÑO",CALLE,COMPLETO,0,NORTE,"1_6,1_16",55
"PIO XII",CALLE,COMPLETO,0,NORTE,1_1,203
PISA,CALLE,COMPLETO,0,NORTE,1_9,124
PIZARRO,CALLE,COMPLETO,0,CENTRO,6_2,3060
PLANETA,CALLE,COMPLETO,0,SUR,6_26,5168
"PLAYA DE LA CASERIA",LUGAR,COMPLETO,0,NORTE,1_15,5167
PLUTON,CALLE,COMPLETO,0,SUR,6_26,2131
"POETA JIMENEZ DE AYLLON",CALLE,COMPLETO,0,NORTE,4_6,5145
"POETA PABLO NERUDA",CALLE,COMPLETO,0,SUR,6_31,1211
"POETA RAFAEL ALBERTI",CALLE,COMPLETO,0,SUR,"6_14,6_23",5055
"PONCE DE LEON",AVDA,COMPLETO,0,SUR,"6_12,6_49,6_22",189
"PRESIDENTE LAZARO DOU",CALLE,COMPLETO,0,SUR,6_28,192
"PRESIDENTE SALVADOR ALLENDE",CALLE,COMPLETO,0,SUR,6_31,1210
PRIM,CALLE,COMPLETO,0,SUR,6_31,335
PRINCIPE,CALLE,COMPLETO,0,NORTE,1_13,139
"PROFESOR ANTONIO RAMOS",CALLE,COMPLETO,0,NORTE,"3_1,3_5,3_6",1072
"PROFESOR JOSE AUMENTE",CALLE,COMPLETO,0,SUR,6_10,5179
"PROFESOR VIEYTES MUÑOZ",CALLE,COMPLETO,0,SUR,6_28,5161
"PROLONGACION DE SANTA MARIA",CALLE,COMPLETO,0,NORTE,1_9,145
"PUENTE LAVAERA",CALLE,COMPLETO,0,CENTRO,6_2,1075
"PUENTE ZUAZO",AVDA,COMPLETO,0,NORTE,"1_8,3_8",1196
"PUERTO DE PALOS",BARDA,COMPLETO,0,CENTRO,5_6,2171
"PUERTO RICO",CALLE,COMPLETO,0,SUR,6_31,2503
QUEVEDO,CALLE,COMPLETO,0,NORTE,4_5,1122
QUIDORA,CALLE,COMPLETO,0,CENTRO,6_1,1153
"RAMON MENENDEZ PIDAL",CALLE,COMPLETO,0,NORTE,"1_7,1_12",3108
"RAMON Y CAJAL",CALLE,COMPLETO,0,NORTE,"1_11,1_16",188
REAL,CALLE,"",1,CENTRO,"3_4,4_1,4_2,4_3",1161
"REAL CARENERO",CALLE,COMPLETO,0,NORTE,1_14,5143
"RECREO EL MOLINO",LUGAR,COMPLETO,0,NORTE,1_15,420
"REGIDOR NICOLAS EGEA",CALLE,COMPLETO,0,NORTE,1_17,5182
"RESIDENCIA CRUZ ROJA",LUGAR,COMPLETO,0,NORTE,3_8,1244
REVELACION,CALLE,COMPLETO,0,NORTE,1_1,225
"REY (DEL)",PLAZA,COMPLETO,0,CENTRO,"4_1,5_3",35
"REYES CATOLICOS",AVDA,COMPLETO,0,NORTE,"3_1,3_5,3_6,4_5,4_6",5077
"REYES MAGOS",CALLE,COMPLETO,0,NORTE,1_1,231
"RIAS BAJAS",CALLE,COMPLETO,0,NORTE,1_8,5235
RIOFRIO,CALLE,COMPLETO,0,NORTE,1_13,144
"RODRIGUEZ DE ARIAS",PLAZA,COMPLETO,0,CENTRO,5_5,48
"RONDA DEL ESTERO",AVDA,"",7,CENTRO,5_5,5309
RONDEÑAS,CALLE,COMPLETO,0,SUR,6_17,5208
ROSARIO,CALLE,COMPLETO,0,NORTE,"3_3,4_2,4_5",1016
RUISEÑOR,CALLE,COMPLETO,0,SUR,6_8,5176
"RUIZ AHUMADA",CALLE,COMPLETO,0,NORTE,1_17,5140
"SALINA SAN VICENTE",LUGAR,COMPLETO,0,NORTE,1_1,232
"SALINAS (DE LAS)",PLAZA,COMPLETO,0,NORTE,1_12,115
SALINEROS,CALLE,COMPLETO,0,CENTRO,6_2,3102
"SAN AGUSTIN",CALLE,COMPLETO,0,SUR,"6_22,6_28",1120
"SAN ANACLETO",CALLE,COMPLETO,0,NORTE,1_8,142
"SAN ANTONIO",CALLE,COMPLETO,0,CENTRO,"6_5,6_18",3076
"SAN BRUNO",CALLE,COMPLETO,0,CENTRO,"5_5,6_2,6_3,6_18",2119
"SAN CIPRIANO",CALLE,COMPLETO,0,NORTE,3_3,1093
"SAN CRISTOBAL",CALLE,COMPLETO,0,CENTRO,"4_3,5_3",2063
"SAN DIEGO DE ALCALA",CALLE,COMPLETO,0,CENTRO,4_1,2139
"SAN DIMAS",CALLE,COMPLETO,0,NORTE,"2_1,3_2",1139
"SAN ESTEBAN",CALLE,COMPLETO,0,NORTE,3_3,1107
"SAN FEDERICO",CALLE,COMPLETO,0,NORTE,"1_5,1_14",533
"SAN FELIX DE VALOIS",CALLE,COMPLETO,0,NORTE,1_16,191
"SAN FRANCISCO DE ASIS",CALLE,COMPLETO,0,CENTRO,4_3,2079
"SAN FRANCISCO DE BORJA",CALLE,COMPLETO,0,NORTE,1_9,158
"SAN FRANCISCO JAVIER",CALLE,COMPLETO,0,NORTE,1_9,161
"SAN GASPAR",CALLE,COMPLETO,0,NORTE,3_3,1114
"SAN GIL",CALLE,COMPLETO,0,SUR,6_20,1090
"SAN IGNACIO",CALLE,COMPLETO,0,NORTE,"1_9,1_10,3_5",1088
"SAN JOAQUIN",CALLE,COMPLETO,0,CENTRO,"6_1,6_28",2188
"SAN JOSE",CALLE,COMPLETO,0,CENTRO,5_3,1127
"SAN JOSE",PLAZA,COMPLETO,0,CENTRO,5_3,186
"SAN JOSE Y SAN ANTONIO",CALLE,COMPLETO,0,NORTE,"1_6,1_9",205
"SAN JUAN",PLAZA,COMPLETO,0,NORTE,1_5,454
"SAN JUAN BAUTISTA",CALLE,COMPLETO,0,NORTE,"1_11,1_12,1_16",212
"SAN JUAN BOSCO",AVDA,COMPLETO,0,CENTRO,"3_7,3_8",5216
"SAN JUAN DE DIOS",CALLE,COMPLETO,0,SUR,6_26,2146
"SAN JUAN DE LA CRUZ",CALLE,COMPLETO,0,SUR,"6_10,6_28",1141
"SAN MARCOS",CALLE,COMPLETO,0,CENTRO,"3_4,3_7,4_2,4_3,5_3",2128
"SAN MIGUEL",CALLE,COMPLETO,0,NORTE,"1_8,1_14",155
"SAN MIGUEL",PLAZA,COMPLETO,0,NORTE,2_1,548
"SAN NICOLAS",CALLE,COMPLETO,0,CENTRO,"3_8,4_3",2032
"SAN ONOFRE",CALLE,"",0,CENTRO,"6_3,6_4,6_5,6_6",2060
"SAN PEDRO APOSTOL",CALLE,COMPLETO,0,NORTE,"4_2,4_3",2098
"SAN QUINTIN",CALLE,COMPLETO,0,SUR,6_20,104
"SAN RAFAEL",CALLE,COMPLETO,0,NORTE,"1_16,1_7,1_10,1_12",61
"SAN ROMAN",CALLE,COMPLETO,0,CENTRO,6_5,3092
"SAN ROQUE",CALLE,COMPLETO,0,NORTE,"1_15,1_17",467
"SAN SERVANDO",CALLE,COMPLETO,0,NORTE,"3_4,4_2,4_3",1217
"SAN VICENTE",CALLE,COMPLETO,0,NORTE,4_2,2152
"SANCHEZ CERQUERO",CALLE,COMPLETO,0,CENTRO,"5_2,5_3,5_4",1109
"SANCHEZ MARQUEZ",CALLE,COMPLETO,0,CENTRO,5_5,1178
"SANTA ANA",CALLE,COMPLETO,0,NORTE,1_14,536
"SANTA BARBARA",CALLE,COMPLETO,0,CENTRO,"6_4,6_5",2051
"SANTA BARBARA",PLAZA,COMPLETO,0,CENTRO,6_21,2191
"SANTA CRUZ",CALLE,COMPLETO,0,NORTE,2_1,169
"SANTA GERTRUDIS",CALLE,COMPLETO,0,CENTRO,"6_4,6_5",4113
"SANTA JOAQUINA DE VEDRUNA",CALLE,COMPLETO,0,NORTE,1_9,196
"SANTA JUANA DE LESTONAC",PLAZA,COMPLETO,0,CENTRO,6_21,1212
"SANTA LUCIA",CALLE,COMPLETO,0,NORTE,3_6,175
"SANTA MARIA",CALLE,COMPLETO,0,NORTE,"1_9,1_10",200
"SANTA MARIA DE LA CABEZA",CALLE,COMPLETO,0,NORTE,1_9,217
"SANTA RITA",CALLE,COMPLETO,0,NORTE,1_9,222
"SANTA ROSA",CALLE,COMPLETO,0,NORTE,1_14,5138
"SANTA ROSALIA",CALLE,COMPLETO,0,NORTE,"2_1,3_2",157
"SANTA TERESA DE JESUS",CALLE,COMPLETO,0,NORTE,"1_8,2_1",194
SANTIAGO,CALLE,COMPLETO,0,CENTRO,"4_3,5_3",151
"SANTIAGO DE COMPOSTELA",CALLE,COMPLETO,0,NORTE,1_8,5233
"SANTISIMA TRINIDAD",CALLE,COMPLETO,0,CENTRO,5_5,184
"SANTO ANGEL",CALLE,COMPLETO,0,NORTE,1_15,551
"SANTO DOMINGO",CALLE,COMPLETO,0,NORTE,"2_1,3_2",208
"SANTO ENTIERRO",CALLE,COMPLETO,0,SUR,"6_11,6_15,6_20",2111
"SANTO TOMAS DE AQUINO",CALLE,COMPLETO,0,SUR,6_24,1017
SATELITE,CALLE,COMPLETO,0,SUR,6_26,5169
"SATURNINO MONTOJO",CALLE,COMPLETO,0,CENTRO,"5_2,5_3",1116
SATURNO,CALLE,COMPLETO,0,SUR,6_26,2159
"SEBASTIAN VENTURA",CALLE,COMPLETO,0,NORTE,1_14,489
SEGUIRIYAS,CALLE,COMPLETO,0,SUR,6_30,5195
"SEQUERO GLORIETA",CALLE,COMPLETO,0,NORTE,1_6,227
SERRANAS,CALLE,COMPLETO,0,SUR,6_17,5207
"SERVANDO CAMUÑEZ",CALLE,COMPLETO,0,NORTE,"1_11,1_16",162
"SERVANDO GUTIERREZ",CALLE,COMPLETO,0,NORTE,"1_6,1_10",171
SEVILLA,CALLE,COMPLETO,0,SUR,6_29,5127
SIERRA,CALLE,COMPLETO,0,SUR,6_11,1105
"SIRENAS (DE LAS)",PLAZA,COMPLETO,0,CENTRO,6_23,2144
SOL,CALLE,COMPLETO,0,SUR,"6_30,6_26",5170
"SOLEDAD (DE LA)",CLLON,COMPLETO,0,NORTE,4_3,5151
SOLIS,CALLE,COMPLETO,0,CENTRO,6_5,5027
"SUBESTACION COMPAÑIA SEVILLANA",LUGAR,COMPLETO,0,NORTE,1_14,492
TANGUILLOS,CALLE,COMPLETO,0,SUR,"6_17,6_30",5199
TARANTOS,CALLE,COMPLETO,0,SUR,"6_17,6_30",5200
TERAN,CALLE,COMPLETO,0,SUR,6_20,2126
"TERCIO DE ARMADA",LUGAR,COMPLETO,0,NORTE,1_14,493
"TERCIO DE FLANDES",PLAZA,COMPLETO,0,SUR,6_6,2076
TIERRA,CALLE,COMPLETO,0,SUR,6_26,1202
TILOS,CALLE,COMPLETO,0,NORTE,4_4,1172
"TIRSO DE MOLINA",CALLE,COMPLETO,0,CENTRO,5_5,201
"TOMAS DEL VALLE",CALLE,COMPLETO,0,CENTRO,"5_3,5_4",1208
"TOMAS Y VALIENTE",RTDA,COMPLETO,0,SUR,6_8,5186
"TORERO RAFAEL ORTEGA",CALLE,COMPLETO,0,NORTE,1_14,538
TORPEDERA,CALLE,COMPLETO,0,SUR,6_11,2112
TORRECHICA,CALLE,COMPLETO,0,CENTRO,5_1,5220
TORTOLA,CALLE,COMPLETO,0,SUR,6_8,5129
TRAFALGAR,CALLE,COMPLETO,0,NORTE,1_10,187
URANO,CALLE,COMPLETO,0,SUR,6_26,218
URUGUAY,CALLE,COMPLETO,0,SUR,6_31,2515
"VEINTICUATRO DE SEPTIEMBRE 1810",CALLE,COMPLETO,0,NORTE,4_5,1156
VELARDE,CALLE,COMPLETO,0,CENTRO,"5_5,6_2,6_3",1130
VELAZQUEZ,CALLE,COMPLETO,0,CENTRO,4_3,1119
VENEZUELA,CALLE,COMPLETO,0,SUR,"6_24,6_31",2505
VENUS,CALLE,COMPLETO,0,SUR,6_26,2162
"VERA CRUZ",CALLE,COMPLETO,0,CENTRO,5_5,244
VERDERON,CALLE,COMPLETO,0,SUR,6_8,470
VERDIALES,CALLE,COMPLETO,0,SUR,6_30,5198
VERONICA,CALLE,COMPLETO,0,CENTRO,5_5,223
"VESTUARIO DE COMEDIAS",CALLE,COMPLETO,0,CENTRO,5_5,257
"VIA LACTEA",CALLE,COMPLETO,0,SUR,6_26,1223
VICARIO,CALLE,COMPLETO,0,NORTE,3_3,1080
"VICTORIA EUGENIA",PLAZA,COMPLETO,0,NORTE,3_5,5131
"VIENTO DEL SUR",CALLE,COMPLETO,0,CENTRO,5_5,1005
"VIRGEN DE LA ESTRELLA",PSAJE,COMPLETO,0,NORTE,4_5,1181
VIRIATO,CALLE,COMPLETO,0,NORTE,"1_12,1_6",136
"VOLUNTARIOS REALISTAS",CALLE,COMPLETO,0,SUR,6_24,1022
"WENCESLAO BENITEZ",CALLE,COMPLETO,0,CENTRO,5_1,1219
"ZARZUELA (LA)",CALLE,COMPLETO,0,NORTE,1_13,176
ZORZAL,CALLE,COMPLETO,0,SUR,6_8,5212
"","","",0,"","",""
