Nombre,TipoVia,Tramo,Numero,Zona,DS,Codigo
CADIZ,CALLE,COMPLETO,0,NORTE,1_8,44
CALATRAVA,CALLE,COMPLETO,0,NORTE,"1_10,1_16,2_1,3_5,3_6",21
"CALDERON DE LA BARCA",CALLE,COMPLETO,0,CENTRO,"5_2,5_3,5_4",23
CALLAO,CALLE,COMPLETO,0,CENTRO,5_4,2045
CAMPANILLEROS,CALLE,COMPLETO,0,SUR,6_26,5203
CAMPOMANES,CALLE,COMPLETO,0,NORTE,1_1,66
"CAMPOSOTO (CUARTELES DE)",LUGAR,COMPLETO,0,SUR,6_31,5028
"CAMPOSOTO (DE)",CTRA,COMPLETO,0,SUR,"6_8,6_17,6_24,6_25",3033
"CANAL DE SAN JORGE",CALLE,COMPLETO,0,SUR,6_28,5178
CANARIAS,CALLE,COMPLETO,0,CENTRO,5_6,1054
CANARIO,CALLE,COMPLETO,0,SUR,6_8,372
CANASTERAS,CALLE,COMPLETO,0,SUR,6_26,5193
"CANTAUTOR CARLOS CANO",AVDA,COMPLETO,0,SUR,6_26,2034
"CANTAUTOR VICTOR JARA",CALLE,COMPLETO,0,SUR,6_31,3100
"CANTE (DEL)",RTDA,COMPLETO,0,SUR,6_17,5191
"CANTERA DE RICO",LUGAR,COMPLETO,0,NORTE,1_11,1027
"CANTERA DEL REY",CLLON,COMPLETO,0,NORTE,"1_15,1_17",65
"CANTILLO (EL)",CALLE,COMPLETO,0,CENTRO,6_2,1006
"CAÑO HERRERA",CTRA,COMPLETO,0,NORTE,1_9,341
"CAPATAZ NICOLAS CARRILLO",CALLE,COMPLETO,0,NORTE,4_2,2165
"CAPITAN ANGEL SEVILLANO",CALLE,COMPLETO,0,CENTRO,5_6,1067
"CAPITAN CONFORTO",PASEO,COMPLETO,0,NORTE,1_14,71
CAPRI,CALLE,COMPLETO,0,NORTE,1_9,11
"CARDENAL SPINOLA",CALLE,COMPLETO,0,NORTE,3_3,1021
"CARLOS III",AVDA,COMPLETO,0,NORTE,"1_1,1_4",278
CARMEN,CALLE,COMPLETO,0,CENTRO,"6_5,6_6",2018
"CARMEN (DEL)",PLAZA,COMPLETO,0,SUR,6_28,2075
CARRACA,CALLE,COMPLETO,0,NORTE,"2_1,1_7,1_8,1_12",27
"CARRACA (DE LA)",CTRA," TODOS PARES",0,ERACIS,1_1,72
"CARRACA (DE LA)",CTRA,"TODOS IMPARES",4,NORTE,1_1,72
CARTAGENA,CALLE,COMPLETO,0,NORTE,1_8,60
CARTAGENERAS,CALLE,COMPLETO,0,SUR,6_30,5202
"CARTOGRAFO VICENTE TOFIÑO",CALLE,COMPLETO,0,CENTRO,5_7,5066
"CASCOS AZULES DE LA ISLA",CALLE,COMPLETO,0,CENTRO,"5_1,6_21",5152
"CASERIO DE INFANTE",PLAZA,COMPLETO,0,NORTE,1_17,5063
"CASERIO DE RICARDO",CALLE,COMPLETO,0,NORTE,1_5,5159
"CASTILLO DE LOYOLA",CALLE,COMPLETO,0,NORTE,1_9,32
"CASTILLO DE OLITE",CALLE,COMPLETO,0,CENTRO,5_7,87
"CAYETANO DEL TORO",CALLE,COMPLETO,0,CENTRO,"4_1,4_5",2031
"CAYETANO ROLDAN",AVDA,COMPLETO,0,NORTE,"3_1,4_4",1191
"CECILIO PUJAZON",CALLE,COMPLETO,0,CENTRO,"5_2,5_4,6_1,6_21",1039
"CENTURIA ISLA DE LEON",CALLE,COMPLETO,0,NORTE,"1_6,1_9",47
"CERRO DE LOS ANGELES",CALLE,COMPLETO,0,SUR,6_26,2048
CERVANTES,CALLE,COMPLETO,0,CENTRO,4_1,2046
CETINA,CALLE,COMPLETO,0,SUR,6_31,388
CHAMARIZ,CALLE,COMPLETO,0,SUR,6_8,5175
CHAPISTAS,CALLE,COMPLETO,0,NORTE,1_9,275
CHARRAN,CALLE,COMPLETO,0,SUR,6_8,5174
CHILE,CALLE,COMPLETO,0,SUR,"6_24,6_31",2510
CHOPO,CALLE,COMPLETO,0,NORTE,4_6,5097
CHURRUCA,CALLE,COMPLETO,0,NORTE,"1_10,2_1,3_6",45
"CID (DEL)",AVDA,COMPLETO,0,NORTE,1_7,131
CIGUEÑA,CALLE,COMPLETO,0,SUR,6_8,5039
"COFRADIA DEL HUERTO",CALLE,COMPLETO,0,NORTE,"1_11,1_12",146
"COGHEN (DE)",CLLON,COMPLETO,0,NORTE,"3_1,3_5",29
"COLEGIO NAVAL SACRAMENTO",CALLE,COMPLETO,0,CENTRO,"6_1,6_21",2055
COLOMBIA,CALLE,COMPLETO,0,SUR,6_24,2509
COLOMBIANAS,CALLE,COMPLETO,0,SUR,6_30,5197
COLON,CALLE,COMPLETO,0,NORTE,"3_1,3_2,3_3,3_6,4_5",1036
"COLUMNAS DE HERCULES",CALLE,COMPLETO,0,CENTRO,5_1,5232
